|02-08-2021 01:59:47.401|INFO |simpletest.client||||client.cpp:155|int main(int, char **)|SimpleClientParams: clientInitialRetryTimeoutMilli: 1100, clientMinRetryTimeoutMilli: 1000, clientMaxRetryTimeoutMilli: 2000, clientSendsRequestToAllReplicasFirstThresh: 2, clientSendsRequestToAllReplicasPeriodThresh: 2, clientPeriodicResetThresh: 30
|02-08-2021 01:59:47.401|INFO |simpletest.client||||simple_test_client.hpp:71|bool SimpleTestClient::run()|ClientParams: clientId: 6, numOfReplicas: 6, numOfClients: 2, numOfIterations: 5000, fVal: 1, cVal: 1
|02-08-2021 01:59:47.401|INFO |communication.factory||||CommFactory.cpp:30|static bft::communication::ICommunication *bft::communication::CommFactory::create(const bft::communication::BaseCommConfig &)|Using PlainUDP: Host=0.0.0.0, Port=3722
|02-08-2021 01:59:47.401|INFO |simpletest.client||||simple_test_client.hpp:97|bool SimpleTestClient::run()|Starting 5000
|02-08-2021 01:59:47.604|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 203374 Time 857215150
|02-08-2021 01:59:47.610|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5692 Time 857215156
|02-08-2021 01:59:47.616|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5935 Time 857215162
|02-08-2021 01:59:47.622|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5780 Time 857215168
|02-08-2021 01:59:47.627|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5180 Time 857215173
|02-08-2021 01:59:47.633|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6001 Time 857215179
|02-08-2021 01:59:47.633|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 110 Time 857215179
|02-08-2021 01:59:47.638|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5306 Time 857215184
|02-08-2021 01:59:47.644|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5356 Time 857215190
|02-08-2021 01:59:47.650|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6356 Time 857215196
|02-08-2021 01:59:47.655|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5345 Time 857215201
|02-08-2021 01:59:47.661|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5309 Time 857215207
|02-08-2021 01:59:47.668|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6729 Time 857215214
|02-08-2021 01:59:47.668|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 130 Time 857215214
|02-08-2021 01:59:47.673|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5606 Time 857215219
|02-08-2021 01:59:47.679|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6137 Time 857215225
|02-08-2021 01:59:47.685|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5226 Time 857215231
|02-08-2021 01:59:47.690|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5464 Time 857215236
|02-08-2021 01:59:47.696|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5601 Time 857215242
|02-08-2021 01:59:47.702|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6363 Time 857215248
|02-08-2021 01:59:47.702|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 164 Time 857215248
|02-08-2021 01:59:47.708|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5425 Time 857215254
|02-08-2021 01:59:47.713|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5426 Time 857215259
|02-08-2021 01:59:47.718|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5031 Time 857215264
|02-08-2021 01:59:47.724|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5335 Time 857215270
|02-08-2021 01:59:47.730|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6245 Time 857215276
|02-08-2021 01:59:47.735|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 4638 Time 857215281
|02-08-2021 01:59:47.735|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 252 Time 857215281
|02-08-2021 01:59:47.740|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5223 Time 857215286
|02-08-2021 01:59:47.745|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5413 Time 857215292
|02-08-2021 01:59:47.752|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6163 Time 857215298
|02-08-2021 01:59:47.757|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5492 Time 857215303
|02-08-2021 01:59:47.763|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5813 Time 857215309
|02-08-2021 01:59:47.769|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6005 Time 857215315
|02-08-2021 01:59:47.769|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 405 Time 857215315
|02-08-2021 01:59:47.774|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 4821 Time 857215320
|02-08-2021 01:59:47.779|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5090 Time 857215325
|02-08-2021 01:59:47.786|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6258 Time 857215332
|02-08-2021 01:59:47.792|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6209 Time 857215338
|02-08-2021 01:59:47.798|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5990 Time 857215344
|02-08-2021 01:59:47.803|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5544 Time 857215349
|02-08-2021 01:59:47.804|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 144 Time 857215350
|02-08-2021 01:59:47.809|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5466 Time 857215355
|02-08-2021 01:59:47.815|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5464 Time 857215361
|02-08-2021 01:59:47.820|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5094 Time 857215366
|02-08-2021 01:59:47.825|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5522 Time 857215371
|02-08-2021 01:59:47.831|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5503 Time 857215377
|02-08-2021 01:59:47.836|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5460 Time 857215382
|02-08-2021 01:59:47.837|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 320 Time 857215383
|02-08-2021 01:59:47.842|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5317 Time 857215388
|02-08-2021 01:59:47.847|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 4806 Time 857215393
|02-08-2021 01:59:47.852|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5503 Time 857215398
|02-08-2021 01:59:47.858|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5575 Time 857215404
|02-08-2021 01:59:47.863|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5189 Time 857215409
|02-08-2021 01:59:47.868|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5258 Time 857215414
|02-08-2021 01:59:47.869|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 171 Time 857215415
|02-08-2021 01:59:47.873|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 4653 Time 857215419
|02-08-2021 01:59:47.879|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5772 Time 857215425
|02-08-2021 01:59:47.885|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6195 Time 857215431
|02-08-2021 01:59:47.891|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5637 Time 857215437
|02-08-2021 01:59:47.897|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6440 Time 857215443
|02-08-2021 01:59:47.903|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5481 Time 857215449
|02-08-2021 01:59:47.903|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 122 Time 857215449
|02-08-2021 01:59:47.909|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6124 Time 857215455
|02-08-2021 01:59:47.915|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5635 Time 857215461
|02-08-2021 01:59:47.920|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 4832 Time 857215466
|02-08-2021 01:59:47.924|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 4753 Time 857215470
|02-08-2021 01:59:47.930|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5926 Time 857215476
|02-08-2021 01:59:47.939|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 8648 Time 857215485
|02-08-2021 01:59:47.939|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 328 Time 857215485
|02-08-2021 01:59:47.945|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5303 Time 857215491
|02-08-2021 01:59:47.950|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5220 Time 857215496
|02-08-2021 01:59:47.956|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6110 Time 857215502
|02-08-2021 01:59:47.961|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5526 Time 857215508
|02-08-2021 01:59:47.967|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5153 Time 857215513
|02-08-2021 01:59:47.972|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5002 Time 857215518
|02-08-2021 01:59:47.972|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 127 Time 857215518
|02-08-2021 01:59:47.977|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5289 Time 857215523
|02-08-2021 01:59:47.982|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5330 Time 857215528
|02-08-2021 01:59:47.988|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5417 Time 857215534
|02-08-2021 01:59:47.994|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6257 Time 857215540
|02-08-2021 01:59:47.999|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5225 Time 857215545
|02-08-2021 01:59:48.007|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 7191 Time 857215553
|02-08-2021 01:59:48.007|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 141 Time 857215553
|02-08-2021 01:59:48.013|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 6078 Time 857215559
|02-08-2021 01:59:48.018|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5257 Time 857215564
|02-08-2021 01:59:48.026|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 7651 Time 857215572
|02-08-2021 01:59:48.031|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5188 Time 857215577
|02-08-2021 01:59:48.037|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5648 Time 857215583
|02-08-2021 01:59:48.043|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 5842 Time 857215589
|02-08-2021 01:59:48.043|INFO |simpletest.client||||simple_test_client.hpp:206|bool SimpleTestClient::run()|RAWLatencyMicro 126 Time 857215589
